r,P,payback_time
r0.01,p119000,pt13
r0.01,p123000,pt12
r0.02,p126000,pt13
r0.015,p128000,pt12
r0.02,p139000,pt11
r0.02,p100000,pt16
r0.013,p113000,pt14
r0.032,p111000,pt16
r0.013,p130000,pt12
r0.01,p112000,pt13
r0.013,p127000,pt12
r0.021,p127000,pt13
r0.013,p128000,pt12
r0.016,p135000,pt11
r0.027,p123000,pt14
r0.013,p118000,pt13
r0.02,p92000,pt18
r0.05,p120000,pt17
r0.013,p135000,pt11
r0.023,p113000,pt15
r0.057,p136000,pt15
r0.023,p137000,pt12
r0.02,p120000,pt13
r0.02,p123000,pt13
r0.01,p123000,pt12
r0.035,p113000,pt16
r0.072,p131000,pt20
r0.027,p126000,pt13
r0.02,p116000,pt14
r0.013,p121000,pt13
r0.037,p116000,pt16
r0.01,p116000,pt13
r0.032,p115000,pt15
r0.016,p137000,pt11
r0.057,p122000,pt18
r0.038,p119000,pt15
r0.013,p124000,pt12
r0.052,p106000,pt22
r0.02,p115000,pt14
r0.013,p123000,pt12
r0.015,p96000,pt16
r0.01,p134000,pt11
r0.057,p134000,pt16
r0.023,p112000,pt15
r0.023,p126000,pt13
r0.057,p118000,pt19
r0.015,p150000,pt10
r0.038,p128000,pt14
r0.025,p128000,pt13
r0.027,p110000,pt16
r0.005,p135000,pt11
r0.027,p115000,pt15
r0.027,p139000,pt12
r0.03,p104000,pt17
r0.01,p94000,pt16
r0.037,p132000,pt13
r0.06,p90000,pt1000
r0.013,p114000,pt13
r0.016,p136000,pt11
r0.027,p122000,pt14
r0.028,p113000,pt15
r0.03,p112000,pt16
r0.052,p116000,pt19
r0.038,p138000,pt13
r0.023,p134000,pt12
r0.043,p115000,pt17
r0.014,p103000,pt15
r0.03,p98000,pt18
r0.023,p134000,pt12
r0.031,p126000,pt14
r0.055,p128000,pt16
r0.02,p133000,pt12
r0.02,p138000,pt11
r0.011,p125000,pt12
r0.005,p115000,pt13
r0.023,p114000,pt14
r0.007,p102000,pt14
r0.037,p136000,pt13
r0.055,p126000,pt17
r0.025,p112000,pt15
r0.023,p136000,pt12
r0.062,p108000,pt25
r0.023,p119000,pt14
r0.02,p110000,pt15
r0.057,p110000,pt22
r0.023,p125000,pt13
r0.023,p107000,pt16
r0.052,p117000,pt18
r0.01,p126000,pt12
r0.02,p118000,pt14
r0.027,p107000,pt16
r0.005,p127000,pt12
r0.041,p122000,pt15
r0.027,p132000,pt13
r0.02,p113000,pt14
r0.02,p98000,pt17
