r,P,payback_time
r0.043,p133000,pt14
r0.023,p135000,pt12
r0.028,p99000,pt18
r0.055,p113000,pt20
r0.023,p126000,pt13
r0.06,p108000,pt24
r0.038,p120000,pt15
r0.03,p116000,pt15
r0.01,p113000,pt13
r0.016,p145000,pt11
r0.01,p126000,pt12
r0.028,p137000,pt12
r0.025,p130000,pt13
r0.025,p129000,pt13
r0.01,p129000,pt12
r0.052,p97000,pt26
r0.03,p117000,pt15
r0.01,p102000,pt15
r0.016,p99000,pt16
r0.03,p112000,pt16
r0.016,p115000,pt14
r0.023,p118000,pt14
r0.023,p133000,pt12
r0.01,p98000,pt15
r0.016,p117000,pt13
r0.025,p129000,pt13
r0.025,p130000,pt13
r0.005,p122000,pt12
r0.018,p130000,pt12
r0.032,p107000,pt17
r0.014,p123000,pt13
r0.027,p123000,pt14
r0.01,p135000,pt11
r0.005,p114000,pt13
r0.016,p124000,pt13
r0.016,p127000,pt12
r0.015,p118000,pt13
r0.032,p131000,pt13
r0.02,p117000,pt14
r0.01,p142000,pt11
r0.02,p121000,pt13
r0.031,p121000,pt14
r0.023,p116000,pt14
r0.027,p113000,pt15
r0.025,p117000,pt14
r0.01,p126000,pt12
r0.01,p115000,pt13
r0.02,p127000,pt13
r0.065,p118000,pt22
r0.067,p115000,pt24
r0.026,p110000,pt15
r0.023,p104000,pt16
r0.01,p103000,pt15
r0.005,p129000,pt11
r0.035,p124000,pt14
r0.057,p119000,pt19
r0.013,p128000,pt12
r0.02,p112000,pt14
r0.023,p118000,pt14
r0.045,p125000,pt15
r0.027,p109000,pt16
r0.006,p124000,pt12
r0.045,p126000,pt15
r0.02,p121000,pt13
r0.02,p132000,pt12
r0.027,p123000,pt14
r0.062,p105000,pt27
r0.02,p123000,pt13
r0.02,p128000,pt12
r0.02,p99000,pt17
r0.023,p93000,pt18
r0.038,p145000,pt12
r0.055,p132000,pt16
r0.052,p117000,pt18
r0.018,p111000,pt14
r0.006,p118000,pt12
r0.016,p100000,pt16
r0.032,p132000,pt13
r0.025,p125000,pt13
r0.035,p136000,pt13
r0.023,p109000,pt15
r0.01,p138000,pt11
r0.027,p102000,pt17
r0.013,p104000,pt15
r0.02,p132000,pt12
r0.01,p115000,pt13
r0.023,p126000,pt13
r0.025,p125000,pt13
r0.01,p136000,pt11
r0.01,p105000,pt14
r0.03,p107000,pt17
r0.038,p118000,pt16
r0.02,p116000,pt14
r0.027,p123000,pt14
r0.057,p120000,pt19
r0.018,p123000,pt13
r0.062,p107000,pt26
r0.01,p148000,pt10
r0.06,p102000,pt27
r0.032,p136000,pt13
r0.028,p124000,pt14
r0.023,p129000,pt13
r0.042,p106000,pt19
r0.062,p142000,pt15
r0.02,p111000,pt15
r0.032,p109000,pt16
r0.01,p120000,pt13
r0.031,p125000,pt14
r0.052,p126000,pt16
r0.041,p127000,pt15
r0.02,p117000,pt14
r0.043,p113000,pt17
r0.005,p118000,pt12
r0.023,p139000,pt12
r0.01,p126000,pt12
r0.02,p111000,pt15
r0.06,p112000,pt22
r0.02,p128000,pt12
r0.023,p117000,pt14
r0.025,p118000,pt14
r0.02,p134000,pt12
r0.016,p129000,pt12
r0.005,p118000,pt12
r0.005,p103000,pt14
r0.052,p128000,pt16
r0.021,p102000,pt16
r0.045,p106000,pt20
r0.025,p116000,pt14
r0.01,p107000,pt14
r0.027,p126000,pt13
r0.02,p100000,pt16
r0.018,p107000,pt15
r0.02,p108000,pt15
r0.057,p106000,pt24
r0.043,p105000,pt19
r0.01,p120000,pt13
r0.01,p101000,pt15
r0.03,p114000,pt15
r0.013,p125000,pt12
r0.01,p111000,pt14
r0.02,p112000,pt14
r0.042,p119000,pt16
r0.031,p115000,pt15
r0.021,p130000,pt12
r0.005,p106000,pt14
r0.042,p116000,pt17
r0.02,p99000,pt17
r0.048,p124000,pt16
r0.025,p122000,pt14
r0.01,p120000,pt13
r0.005,p119000,pt12
r0.016,p121000,pt13
r0.02,p151000,pt10
r0.02,p112000,pt14
r0.016,p128000,pt12
r0.025,p117000,pt14
r0.02,p150000,pt11
r0.018,p132000,pt12
r0.01,p136000,pt11
r0.027,p110000,pt16
r0.023,p136000,pt12
r0.013,p133000,pt11
r0.032,p114000,pt16
r0.038,p121000,pt15
r0.03,p127000,pt13
r0.038,p129000,pt14
r0.023,p109000,pt15
r0.023,p136000,pt12
r0.016,p103000,pt15
r0.059,p129000,pt17
r0.013,p146000,pt10
r0.02,p116000,pt14
r0.016,p115000,pt14
r0.01,p120000,pt13
r0.01,p119000,pt13
r0.023,p129000,pt13
r0.02,p134000,pt12
r0.018,p117000,pt14
r0.016,p97000,pt16
r0.005,p154000,pt10
r0.045,p126000,pt15
r0.016,p126000,pt12
r0.059,p117000,pt20
r0.057,p125000,pt17
r0.025,p121000,pt14
r0.023,p149000,pt11
r0.023,p109000,pt15
r0.014,p119000,pt13
r0.045,p136000,pt14
r0.01,p113000,pt13
r0.027,p116000,pt15
r0.057,p117000,pt20
r0.023,p129000,pt13
r0.005,p116000,pt13
r0.016,p119000,pt13
r0.01,p131000,pt11
r0.025,p152000,pt11
r0.027,p107000,pt16
r0.005,p135000,pt11
r0.023,p125000,pt13
r0.018,p123000,pt13
r0.023,p105000,pt16
r0.023,p133000,pt12
r0.02,p138000,pt11
r0.01,p125000,pt12
r0.01,p121000,pt12
r0.038,p117000,pt16
r0.055,p124000,pt17
r0.01,p122000,pt12
r0.035,p117000,pt15
r0.055,p136000,pt15
r0.032,p107000,pt17
r0.025,p108000,pt16
r0.013,p129000,pt12
r0.01,p128000,pt12
r0.02,p98000,pt17
r0.025,p138000,pt12
r0.035,p112000,pt16
r0.01,p118000,pt13
r0.023,p118000,pt14
r0.016,p117000,pt13
r0.015,p111000,pt14
r0.042,p129000,pt14
r0.01,p108000,pt14
r0.027,p129000,pt13
r0.045,p99000,pt22
r0.06,p114000,pt21
r0.007,p130000,pt11
r0.005,p131000,pt11
r0.007,p129000,pt11
r0.023,p124000,pt13
r0.045,p131000,pt14
r0.02,p120000,pt13
r0.018,p129000,pt12
r0.01,p107000,pt14
r0.052,p107000,pt21
r0.057,p117000,pt20
r0.033,p142000,pt12
r0.005,p116000,pt13
r0.025,p122000,pt14
r0.055,p115000,pt20
r0.018,p117000,pt14
r0.067,p101000,pt1000
r0.032,p129000,pt13
r0.02,p121000,pt13
r0.026,p129000,pt13
r0.072,p103000,pt1000
r0.007,p124000,pt12
r0.05,p123000,pt17
r0.01,p120000,pt13
r0.02,p115000,pt14
r0.038,p102000,pt19
r0.027,p103000,pt17
r0.005,p123000,pt12
r0.027,p138000,pt12
r0.026,p102000,pt17
r0.033,p121000,pt15
r0.02,p122000,pt13
r0.023,p86000,pt20
r0.01,p127000,pt12
r0.055,p119000,pt19
r0.016,p118000,pt13
r0.02,p112000,pt14
r0.01,p112000,pt13
r0.013,p144000,pt11
r0.01,p154000,pt10
r0.01,p112000,pt13
r0.062,p124000,pt19
r0.023,p116000,pt14
r0.015,p125000,pt12
r0.06,p121000,pt19
r0.023,p136000,pt12
r0.032,p128000,pt13
r0.02,p131000,pt12
r0.02,p107000,pt15
r0.005,p114000,pt13
r0.025,p119000,pt14
r0.027,p121000,pt14
r0.052,p111000,pt20
r0.02,p127000,pt13
r0.06,p116000,pt21
r0.016,p137000,pt11
r0.01,p116000,pt13
r0.02,p131000,pt12
r0.005,p94000,pt16
r0.005,p127000,pt12
r0.016,p121000,pt13
r0.013,p132000,pt12
r0.032,p142000,pt12
r0.013,p101000,pt15
r0.023,p116000,pt14
r0.013,p117000,pt13
r0.01,p109000,pt14
r0.02,p136000,pt12
r0.013,p127000,pt12
r0.01,p101000,pt15
r0.02,p115000,pt14
r0.05,p122000,pt17
r0.025,p128000,pt13
r0.023,p112000,pt15
r0.045,p110000,pt19
r0.02,p130000,pt12
r0.025,p136000,pt12
r0.023,p135000,pt12
r0.03,p134000,pt13
r0.01,p126000,pt12
r0.016,p132000,pt12
r0.016,p103000,pt15
r0.013,p111000,pt14
r0.02,p123000,pt13
r0.025,p121000,pt14
r0.016,p130000,pt12
r0.05,p122000,pt17
r0.032,p130000,pt13
r0.016,p133000,pt12
r0.02,p103000,pt16
r0.023,p143000,pt11
r0.01,p121000,pt12
r0.01,p121000,pt12
r0.02,p126000,pt13
r0.027,p115000,pt15
r0.01,p126000,pt12
r0.023,p118000,pt14
r0.01,p132000,pt11
r0.02,p129000,pt12
r0.018,p109000,pt15
r0.013,p120000,pt13
r0.005,p114000,pt13
r0.01,p124000,pt12
r0.016,p124000,pt13
r0.032,p110000,pt16
r0.032,p134000,pt13
r0.007,p123000,pt12
r0.055,p137000,pt15
r0.01,p111000,pt14
r0.01,p107000,pt14
r0.016,p134000,pt12
r0.01,p143000,pt10
r0.025,p110000,pt15
r0.032,p128000,pt13
r0.027,p116000,pt15
r0.023,p104000,pt16
r0.03,p124000,pt14
r0.005,p128000,pt11
r0.02,p109000,pt15
r0.025,p125000,pt13
r0.055,p133000,pt16
r0.023,p131000,pt12
r0.016,p129000,pt12
r0.023,p103000,pt16
r0.01,p115000,pt13
r0.021,p128000,pt13
r0.005,p124000,pt12
r0.03,p108000,pt16
r0.057,p119000,pt19
r0.023,p111000,pt15
r0.028,p141000,pt12
r0.027,p128000,pt13
r0.025,p128000,pt13
r0.023,p126000,pt13
r0.01,p126000,pt12
r0.005,p124000,pt12
r0.01,p101000,pt15
r0.007,p101000,pt15
r0.025,p122000,pt14
r0.055,p133000,pt16
r0.043,p127000,pt15
r0.005,p152000,pt10
r0.013,p103000,pt15
r0.005,p129000,pt11
r0.005,p144000,pt10
r0.032,p112000,pt16
r0.028,p126000,pt13
r0.06,p105000,pt26
r0.021,p131000,pt12
r0.013,p97000,pt16
r0.045,p133000,pt14
r0.045,p96000,pt23
r0.02,p106000,pt15
r0.052,p106000,pt22
r0.023,p116000,pt14
r0.016,p122000,pt13
r0.027,p104000,pt17
r0.016,p112000,pt14
r0.02,p120000,pt13
r0.03,p106000,pt17
r0.028,p126000,pt13
r0.027,p106000,pt16
r0.02,p131000,pt12
r0.02,p126000,pt13
r0.025,p124000,pt13
r0.005,p128000,pt11
r0.02,p125000,pt13
r0.005,p134000,pt11
r0.02,p140000,pt11
r0.027,p110000,pt16
r0.057,p138000,pt15
r0.01,p113000,pt13
r0.025,p110000,pt15
r0.03,p129000,pt13
r0.038,p132000,pt14
r0.013,p142000,pt11
r0.023,p103000,pt16
r0.01,p120000,pt13
r0.01,p125000,pt12
r0.062,p131000,pt17
r0.01,p111000,pt14
r0.038,p117000,pt16
r0.005,p144000,pt10
r0.013,p113000,pt14
r0.02,p111000,pt15
r0.045,p125000,pt15
r0.023,p104000,pt16
r0.023,p122000,pt13
r0.025,p132000,pt12
r0.025,p123000,pt13
r0.023,p123000,pt13
r0.027,p114000,pt15
r0.023,p102000,pt16
r0.032,p128000,pt13
r0.023,p121000,pt14
r0.02,p113000,pt14
r0.01,p108000,pt14
r0.03,p145000,pt12
r0.025,p148000,pt11
r0.005,p89000,pt16
r0.018,p111000,pt14
r0.02,p127000,pt13
r0.01,p146000,pt10
r0.013,p114000,pt13
r0.037,p83000,pt26
r0.052,p117000,pt18
r0.023,p127000,pt13
r0.023,p113000,pt15
r0.023,p116000,pt14
r0.045,p112000,pt18
r0.062,p125000,pt19
r0.005,p106000,pt14
r0.02,p134000,pt12
r0.01,p122000,pt12
r0.043,p123000,pt16
r0.065,p134000,pt17
r0.025,p115000,pt15
r0.02,p121000,pt13
r0.013,p118000,pt13
r0.01,p100000,pt15
r0.023,p107000,pt16
r0.025,p117000,pt14
r0.02,p110000,pt15
r0.018,p114000,pt14
r0.016,p137000,pt11
r0.059,p117000,pt20
r0.032,p133000,pt13
r0.025,p112000,pt15
r0.01,p140000,pt11
r0.013,p115000,pt13
r0.01,p104000,pt15
r0.025,p129000,pt13
r0.03,p127000,pt13
r0.018,p107000,pt15
r0.023,p128000,pt13
r0.005,p133000,pt11
r0.02,p126000,pt13
r0.02,p102000,pt16
r0.011,p144000,pt10
r0.03,p118000,pt15
r0.01,p156000,pt10
r0.03,p127000,pt13
r0.02,p116000,pt14
r0.03,p99000,pt18
r0.005,p108000,pt14
r0.021,p109000,pt15
r0.01,p140000,pt11
r0.005,p109000,pt13
r0.023,p110000,pt15
r0.02,p113000,pt14
r0.043,p131000,pt14
r0.01,p112000,pt13
r0.007,p124000,pt12
r0.055,p146000,pt14
r0.02,p104000,pt16
r0.025,p126000,pt13
r0.025,p137000,pt12
r0.015,p125000,pt12
r0.013,p119000,pt13
r0.032,p122000,pt14
r0.02,p145000,pt11
r0.013,p96000,pt16
r0.02,p135000,pt12
r0.005,p119000,pt12
r0.052,p121000,pt17
r0.02,p115000,pt14
r0.038,p116000,pt16
r0.025,p126000,pt13
r0.035,p129000,pt14
r0.025,p133000,pt12
r0.021,p130000,pt12
r0.059,p109000,pt23
r0.031,p106000,pt17
r0.01,p122000,pt12
r0.02,p115000,pt14
r0.02,p131000,pt12
r0.005,p122000,pt12
r0.016,p119000,pt13
r0.025,p119000,pt14
r0.01,p113000,pt13
r0.018,p143000,pt11
r0.02,p121000,pt13
r0.02,p130000,pt12
r0.01,p103000,pt15
r0.02,p116000,pt14
r0.02,p102000,pt16
r0.007,p105000,pt14
r0.023,p119000,pt14
r0.027,p135000,pt12
r0.02,p100000,pt16
r0.02,p123000,pt13
r0.062,p104000,pt27
r0.023,p118000,pt14
r0.05,p137000,pt14
r0.027,p115000,pt15
r0.007,p126000,pt12
r0.032,p92000,pt21
r0.033,p129000,pt13
r0.005,p118000,pt12
r0.02,p119000,pt13
r0.016,p96000,pt17
r0.005,p121000,pt12
r0.02,p112000,pt14
r0.018,p126000,pt13
r0.023,p125000,pt13
r0.01,p118000,pt13
r0.03,p116000,pt15
r0.013,p131000,pt12
r0.02,p111000,pt15
r0.043,p134000,pt14
r0.013,p134000,pt11
r0.023,p112000,pt15
r0.02,p132000,pt12
r0.013,p104000,pt15
r0.023,p127000,pt13
r0.016,p115000,pt14
r0.01,p114000,pt13
r0.02,p123000,pt13
r0.055,p112000,pt21
r0.043,p133000,pt14
r0.057,p123000,pt18
r0.032,p117000,pt15
r0.023,p126000,pt13
r0.014,p99000,pt16
r0.02,p95000,pt17
r0.023,p118000,pt14
r0.03,p125000,pt14
r0.01,p118000,pt13
r0.038,p137000,pt13
r0.03,p114000,pt15
r0.035,p101000,pt19
r0.01,p93000,pt16
r0.005,p123000,pt12
r0.02,p110000,pt15
r0.01,p107000,pt14
r0.027,p132000,pt13
r0.032,p130000,pt13
r0.023,p139000,pt12
r0.041,p121000,pt16
r0.027,p114000,pt15
r0.013,p133000,pt11
r0.005,p123000,pt12
r0.025,p119000,pt14
r0.01,p116000,pt13
r0.013,p119000,pt13
r0.045,p112000,pt18
r0.027,p123000,pt14
r0.045,p111000,pt18
r0.016,p135000,pt11
r0.023,p132000,pt12
r0.01,p113000,pt13
r0.035,p139000,pt12
r0.02,p136000,pt12
r0.02,p116000,pt14
r0.016,p114000,pt14
r0.021,p125000,pt13
r0.016,p136000,pt11
r0.005,p106000,pt14
r0.01,p125000,pt12
r0.016,p101000,pt16
r0.005,p125000,pt12
r0.062,p135000,pt16
r0.032,p108000,pt17
r0.027,p106000,pt16
r0.025,p123000,pt13
r0.01,p151000,pt10
r0.01,p109000,pt14
r0.02,p116000,pt14
r0.025,p161000,pt10
r0.055,p121000,pt18
r0.023,p108000,pt15
r0.01,p139000,pt11
r0.027,p133000,pt12
r0.02,p128000,pt12
r0.025,p117000,pt14
r0.032,p134000,pt13
r0.011,p119000,pt13
r0.016,p135000,pt11
r0.023,p121000,pt14
r0.007,p122000,pt12
r0.005,p136000,pt11
r0.02,p130000,pt12
r0.02,p136000,pt12
r0.01,p127000,pt12
r0.043,p110000,pt18
r0.03,p122000,pt14
r0.011,p131000,pt12
r0.027,p114000,pt15
r0.01,p123000,pt12
r0.027,p130000,pt13
r0.02,p113000,pt14
r0.023,p125000,pt13
r0.01,p127000,pt12
r0.015,p116000,pt13
r0.016,p104000,pt15
r0.023,p120000,pt14
r0.023,p119000,pt14
r0.005,p114000,pt13
r0.03,p100000,pt18
r0.013,p97000,pt16
r0.018,p121000,pt13
r0.01,p126000,pt12
r0.02,p127000,pt13
r0.005,p131000,pt11
r0.02,p110000,pt15
r0.01,p105000,pt14
r0.028,p141000,pt12
r0.01,p126000,pt12
r0.02,p122000,pt13
r0.016,p121000,pt13
r0.025,p122000,pt14
r0.02,p129000,pt12
r0.016,p122000,pt13
r0.02,p124000,pt13
r0.031,p126000,pt14
r0.01,p124000,pt12
r0.025,p107000,pt16
r0.01,p132000,pt11
r0.025,p132000,pt12
r0.02,p119000,pt13
r0.037,p122000,pt15
r0.018,p123000,pt13
r0.018,p112000,pt14
r0.023,p119000,pt14
r0.01,p98000,pt15
r0.01,p117000,pt13
r0.027,p126000,pt13
r0.01,p108000,pt14
r0.016,p147000,pt11
r0.01,p145000,pt10
r0.016,p95000,pt17
r0.055,p137000,pt15
r0.01,p137000,pt11
r0.02,p116000,pt14
r0.025,p119000,pt14
r0.005,p132000,pt11
r0.045,p129000,pt15
r0.016,p123000,pt13
r0.013,p106000,pt15
r0.005,p116000,pt13
r0.02,p147000,pt11
r0.016,p114000,pt14
r0.023,p122000,pt13
r0.005,p122000,pt12
r0.03,p127000,pt13
r0.01,p113000,pt13
r0.01,p104000,pt15
r0.01,p126000,pt12
r0.007,p129000,pt11
r0.06,p134000,pt16
r0.057,p144000,pt14
r0.027,p125000,pt13
r0.013,p107000,pt14
r0.023,p117000,pt14
r0.02,p131000,pt12
r0.057,p128000,pt17
r0.025,p117000,pt14
r0.025,p139000,pt12
r0.005,p120000,pt12
r0.025,p111000,pt15
r0.038,p110000,pt17
r0.01,p124000,pt12
r0.02,p131000,pt12
r0.037,p123000,pt15
r0.013,p128000,pt12
r0.02,p108000,pt15
r0.045,p107000,pt19
r0.005,p112000,pt13
r0.018,p135000,pt12
r0.02,p124000,pt13
r0.005,p113000,pt13
r0.027,p117000,pt14
r0.01,p126000,pt12
r0.02,p141000,pt11
r0.027,p138000,pt12
r0.057,p108000,pt23
r0.02,p120000,pt13
r0.02,p127000,pt13
r0.027,p112000,pt15
r0.045,p135000,pt14
r0.021,p111000,pt15
r0.016,p115000,pt14
r0.018,p126000,pt13
r0.033,p105000,pt17
r0.043,p135000,pt14
r0.025,p104000,pt16
r0.005,p122000,pt12
r0.01,p123000,pt12
r0.043,p123000,pt16
r0.01,p107000,pt14
r0.025,p105000,pt16
r0.025,p131000,pt13
r0.062,p135000,pt16
r0.032,p126000,pt14
r0.037,p125000,pt14
r0.02,p123000,pt13
r0.005,p130000,pt11
r0.018,p108000,pt15
r0.025,p123000,pt13
r0.031,p95000,pt19
r0.01,p128000,pt12
r0.052,p105000,pt22
r0.016,p115000,pt14
r0.032,p113000,pt16
r0.031,p109000,pt16
r0.032,p117000,pt15
r0.027,p120000,pt14
r0.025,p113000,pt15
r0.03,p115000,pt15
r0.013,p131000,pt12
r0.032,p115000,pt15
r0.013,p116000,pt13
r0.015,p143000,pt11
r0.02,p107000,pt15
r0.01,p120000,pt13
r0.03,p111000,pt16
r0.057,p138000,pt15
r0.055,p121000,pt18
r0.005,p139000,pt11
r0.052,p137000,pt14
r0.023,p113000,pt15
r0.02,p105000,pt15
r0.048,p144000,pt13
r0.02,p122000,pt13
r0.035,p120000,pt15
r0.023,p120000,pt14
r0.005,p112000,pt13
r0.005,p118000,pt12
r0.027,p97000,pt18
r0.01,p121000,pt12
r0.025,p128000,pt13
r0.016,p120000,pt13
r0.027,p134000,pt12
r0.016,p118000,pt13
r0.01,p114000,pt13
r0.02,p118000,pt14
r0.035,p104000,pt18
r0.06,p150000,pt14
r0.015,p117000,pt13
r0.035,p138000,pt13
r0.015,p127000,pt12
r0.023,p105000,pt16
r0.02,p99000,pt17
r0.005,p124000,pt12
r0.025,p128000,pt13
r0.032,p113000,pt16
r0.03,p120000,pt14
r0.02,p119000,pt13
r0.023,p125000,pt13
r0.027,p122000,pt14
r0.027,p129000,pt13
r0.01,p111000,pt14
r0.015,p110000,pt14
r0.021,p141000,pt11
r0.055,p151000,pt13
r0.016,p124000,pt13
r0.01,p125000,pt12
r0.005,p114000,pt13
r0.013,p100000,pt15
r0.01,p135000,pt11
r0.037,p96000,pt21
r0.025,p105000,pt16
r0.02,p111000,pt15
r0.01,p140000,pt11
r0.005,p97000,pt15
r0.037,p142000,pt12
r0.01,p117000,pt13
r0.032,p134000,pt13
r0.016,p141000,pt11
r0.016,p116000,pt13
r0.025,p114000,pt15
r0.01,p117000,pt13
r0.01,p129000,pt12
r0.025,p83000,pt22
r0.023,p129000,pt13
r0.065,p94000,pt1000
r0.016,p111000,pt14
r0.02,p110000,pt15
r0.005,p119000,pt12
r0.01,p105000,pt14
r0.027,p127000,pt13
r0.052,p124000,pt17
r0.025,p114000,pt15
r0.027,p120000,pt14
r0.028,p126000,pt13
r0.025,p128000,pt13
r0.057,p108000,pt23
r0.055,p106000,pt23
r0.01,p118000,pt13
r0.01,p114000,pt13
r0.018,p141000,pt11
r0.02,p107000,pt15
r0.013,p116000,pt13
r0.013,p114000,pt13
r0.032,p134000,pt13
r0.037,p126000,pt14
r0.009,p122000,pt12
r0.007,p124000,pt12
r0.01,p131000,pt11
r0.025,p116000,pt14
r0.01,p129000,pt12
r0.013,p119000,pt13
r0.015,p129000,pt12
r0.02,p106000,pt15
r0.02,p126000,pt13
r0.045,p108000,pt19
r0.016,p93000,pt17
r0.02,p140000,pt11
r0.023,p135000,pt12
r0.065,p123000,pt20
r0.02,p115000,pt14
r0.025,p102000,pt17
r0.025,p116000,pt14
r0.06,p120000,pt19
r0.027,p121000,pt14
r0.01,p121000,pt12
r0.023,p140000,pt11
r0.005,p132000,pt11
r0.072,p137000,pt18
r0.01,p133000,pt11
r0.023,p118000,pt14
r0.038,p131000,pt14
r0.025,p118000,pt14
r0.025,p118000,pt14
r0.023,p120000,pt14
r0.013,p116000,pt13
r0.013,p106000,pt15
r0.023,p115000,pt14
r0.027,p118000,pt14
r0.032,p102000,pt18
r0.01,p127000,pt12
r0.023,p96000,pt18
r0.01,p84000,pt18
r0.045,p103000,pt21
r0.015,p136000,pt11
r0.045,p116000,pt17
r0.02,p133000,pt12
r0.016,p110000,pt14
r0.027,p141000,pt12
r0.023,p125000,pt13
r0.028,p118000,pt14
r0.023,p126000,pt13
r0.01,p118000,pt13
r0.027,p111000,pt15
r0.018,p118000,pt13
r0.038,p129000,pt14
r0.02,p105000,pt15
r0.03,p133000,pt13
r0.01,p108000,pt14
r0.042,p132000,pt14
r0.025,p105000,pt16
r0.027,p126000,pt13
r0.005,p117000,pt12
r0.023,p137000,pt12
r0.01,p139000,pt11
r0.045,p135000,pt14
r0.032,p126000,pt14
r0.013,p125000,pt12
r0.032,p130000,pt13
r0.027,p110000,pt16
r0.005,p130000,pt11
r0.01,p131000,pt11
r0.02,p121000,pt13
r0.035,p127000,pt14
r0.025,p132000,pt12
r0.062,p133000,pt17
r0.02,p120000,pt13
r0.025,p127000,pt13
r0.016,p133000,pt12
r0.05,p117000,pt18
r0.02,p107000,pt15
r0.013,p133000,pt11
r0.005,p141000,pt10
r0.007,p112000,pt13
r0.03,p132000,pt13
r0.045,p81000,pt1000
r0.023,p132000,pt12
r0.013,p130000,pt12
r0.02,p113000,pt14
r0.023,p97000,pt17
r0.01,p123000,pt12
r0.06,p118000,pt20
r0.033,p108000,pt17
r0.023,p118000,pt14
r0.032,p105000,pt17
r0.02,p141000,pt11
r0.005,p110000,pt13
r0.016,p121000,pt13
r0.037,p136000,pt13
r0.009,p120000,pt12
r0.023,p135000,pt12
r0.02,p139000,pt11
r0.025,p137000,pt12
r0.067,p146000,pt15
r0.01,p133000,pt11
r0.018,p104000,pt15
r0.023,p106000,pt16
r0.023,p125000,pt13
r0.016,p124000,pt13
r0.01,p114000,pt13
r0.065,p111000,pt25
r0.065,p84000,pt1000
r0.032,p113000,pt16
r0.025,p126000,pt13
r0.015,p116000,pt13
r0.027,p133000,pt12
r0.062,p118000,pt21
r0.052,p116000,pt19
r0.01,p123000,pt12
r0.048,p129000,pt15
r0.03,p118000,pt15
r0.01,p113000,pt13
r0.016,p126000,pt12
r0.01,p127000,pt12
r0.025,p104000,pt16
r0.02,p126000,pt13
r0.023,p111000,pt15
r0.007,p129000,pt11
r0.032,p134000,pt13
r0.023,p146000,pt11
r0.023,p125000,pt13
r0.01,p101000,pt15
r0.023,p125000,pt13
r0.02,p124000,pt13
r0.035,p130000,pt14
r0.016,p135000,pt11
r0.005,p115000,pt13
r0.028,p136000,pt12
r0.02,p115000,pt14
r0.062,p130000,pt17
r0.01,p121000,pt12
r0.005,p109000,pt13
r0.06,p132000,pt17
r0.023,p114000,pt14
r0.025,p140000,pt12
r0.02,p105000,pt15
r0.016,p114000,pt14
r0.025,p107000,pt16
r0.013,p112000,pt14
r0.043,p114000,pt17
r0.02,p132000,pt12
r0.013,p116000,pt13
r0.005,p108000,pt14
r0.01,p123000,pt12
r0.013,p144000,pt11
r0.007,p140000,pt11
r0.02,p120000,pt13
r0.045,p114000,pt18
r0.01,p120000,pt13
r0.052,p138000,pt14
r0.005,p114000,pt13
r0.025,p117000,pt14
r0.005,p120000,pt12
r0.027,p110000,pt16
r0.062,p119000,pt20
r0.037,p126000,pt14
r0.023,p112000,pt15
r0.025,p121000,pt14
r0.02,p149000,pt11
r0.023,p97000,pt17
r0.005,p140000,pt10
r0.02,p119000,pt13
r0.02,p125000,pt13
r0.027,p145000,pt11
r0.052,p113000,pt19
r0.01,p119000,pt13
r0.02,p139000,pt11
r0.02,p122000,pt13
r0.055,p129000,pt16
r0.031,p133000,pt13
r0.052,p111000,pt20
r0.02,p107000,pt15
r0.023,p113000,pt15
r0.025,p107000,pt16
r0.01,p99000,pt15
r0.013,p119000,pt13
r0.005,p106000,pt14
r0.01,p151000,pt10
r0.03,p122000,pt14
r0.03,p100000,pt18
r0.01,p128000,pt12
r0.005,p119000,pt12
r0.02,p115000,pt14
r0.01,p118000,pt13
r0.025,p129000,pt13
r0.055,p124000,pt17
r0.027,p126000,pt13
r0.01,p126000,pt12
r0.023,p120000,pt14
r0.01,p119000,pt13
r0.01,p133000,pt11
r0.02,p85000,pt20
r0.02,p148000,pt11
r0.062,p131000,pt17
r0.038,p105000,pt18
r0.027,p101000,pt17
r0.013,p129000,pt12
r0.025,p125000,pt13
r0.018,p131000,pt12
r0.018,p113000,pt14
r0.016,p132000,pt12
r0.042,p118000,pt16
r0.03,p120000,pt14
r0.025,p125000,pt13
r0.016,p128000,pt12
r0.042,p125000,pt15
r0.005,p129000,pt11
r0.027,p137000,pt12
r0.026,p110000,pt15
r0.01,p127000,pt12
r0.048,p111000,pt19
r0.045,p112000,pt18
r0.005,p117000,pt12
r0.035,p108000,pt17
r0.037,p102000,pt19
r0.005,p113000,pt13
r0.01,p121000,pt12
r0.02,p114000,pt14
r0.035,p118000,pt15
r0.025,p96000,pt18
r0.01,p125000,pt12
r0.02,p103000,pt16
r0.015,p116000,pt13
r0.01,p128000,pt12
r0.038,p138000,pt13
r0.01,p124000,pt12
r0.023,p115000,pt14
r0.03,p131000,pt13
r0.01,p111000,pt14
r0.025,p116000,pt14
r0.023,p126000,pt13
r0.013,p115000,pt13
r0.016,p124000,pt13
r0.062,p116000,pt21
r0.013,p104000,pt15
r0.02,p126000,pt13
r0.023,p109000,pt15
r0.027,p127000,pt13
r0.005,p124000,pt12
r0.023,p129000,pt13
r0.025,p141000,pt12
r0.01,p118000,pt13
r0.06,p124000,pt18
r0.016,p144000,pt11
r0.02,p108000,pt15
r0.037,p119000,pt15
r0.01,p107000,pt14
r0.013,p140000,pt11
r0.025,p113000,pt15
